customer_id,segment,registration_date,days_since_registration,age,gender,city,purchase_frequency,avg_purchase_value,total_spent,last_purchase_days,favorite_category,preferred_channel,device_type,session_count,avg_session_duration,cart_abandonment_rate,email_open_rate,click_through_rate,customer_lifetime_value,churn_probability,nps_score,support_tickets,returns_count
CUST00000001,Regular Buyers,2020-10-27,1832,25,Other,Barisal,15,2787,41802,175,Sports,In-Store,Desktop,77,1187,0.48,0.53,0.31,86236,0.29,-6,1,1
CUST00000002,High-Value Loyal,2020-05-25,1987,35,F,Khulna,38,8449,321080,56,Books,Email Campaign,Tablet,370,1187,0.24,0.21,0.14,679944,0.08,-75,3,1
CUST00000003,Regular Buyers,2020-10-03,1856,51,F,Khulna,12,4934,59208,46,Beauty,Mobile App,Desktop,61,737,0.31,0.75,0.34,114263,0.21,-40,7,0
CUST00000004,Regular Buyers,2020-05-27,1985,41,Other,Chittagong,18,3288,59176,47,Groceries,Email Campaign,Tablet,59,1071,0.33,0.16,0.10,97250,0.23,35,0,0
CUST00000005,Regular Buyers,2020-02-19,2083,47,M,Rangpur,11,4717,51891,6,Health,Email Campaign,Mobile,68,1431,0.05,0.32,0.21,62552,0.15,22,8,0
CUST00000006,New Customers,2020-07-21,1930,34,Other,Mymensingh,2,2068,4137,95,Sports,Social Media,Tablet,5,807,0.41,0.74,0.49,8270,0.61,44,4,0
CUST00000007,Occasional Shoppers,2020-12-22,1776,56,F,Khulna,8,2121,16966,176,Beauty,Email Campaign,Tablet,63,510,0.44,0.54,0.19,29374,0.43,-83,5,0
CUST00000008,Occasional Shoppers,2020-02-03,2099,29,F,Barisal,7,2136,14955,111,Electronics,Website,Tablet,52,1616,0.51,0.28,0.09,37226,0.43,13,5,0
CUST00000009,At-Risk,2020-01-03,2130,60,F,Sylhet,2,1042,2085,57,Books,Social Media,Tablet,16,886,0.47,0.10,0.04,3475,0.69,-40,5,0
CUST00000010,Regular Buyers,2020-07-26,1925,60,Other,Dhaka,10,3239,32387,143,Books,Email Campaign,Tablet,92,1773,0.38,0.31,0.21,57248,0.29,52,7,1
CUST00000011,At-Risk,2020-04-18,2024,23,F,Mymensingh,4,598,2394,39,Electronics,Social Media,Tablet,28,161,0.14,0.55,0.22,5648,0.65,-7,3,0
CUST00000012,New Customers,2020-08-04,1916,19,F,Mymensingh,2,2755,5510,15,Home & Living,Social Media,Desktop,12,1663,0.55,0.45,0.18,11652,0.60,76,5,0
CUST00000013,At-Risk,2020-09-22,1867,51,F,Rajshahi,2,826,1651,22,Groceries,Email Campaign,Mobile,16,285,0.52,0.70,0.48,3415,0.52,-58,4,0
CUST00000014,New Customers,2020-11-05,1823,61,F,Dhaka,1,2177,2177,64,Health,In-Store,Desktop,7,1180,0.42,0.18,0.06,2743,0.63,-83,4,0
CUST00000015,Regular Buyers,2020-05-07,2005,40,F,Rangpur,19,2158,41003,1,Beauty,Mobile App,Mobile,189,1779,0.03,0.39,0.23,57615,0.25,81,1,2
CUST00000016,New Customers,2020-11-09,1819,32,M,Dhaka,2,2631,5262,164,Electronics,In-Store,Desktop,18,294,0.24,0.56,0.39,7719,0.56,-80,6,0
CUST00000017,Occasional Shoppers,2020-10-04,1855,32,Other,Rajshahi,6,1690,10137,155,Electronics,In-Store,Mobile,57,252,0.55,0.40,0.25,25134,0.49,48,2,0
CUST00000018,New Customers,2020-02-05,2097,50,F,Barisal,1,1061,1061,47,Sports,In-Store,Mobile,5,662,0.20,0.79,0.32,1810,0.50,54,6,0
CUST00000019,Occasional Shoppers,2020-11-24,1804,58,F,Barisal,7,2078,14548,153,Sports,Social Media,Mobile,63,351,0.25,0.78,0.49,27318,0.40,26,7,0
CUST00000020,Occasional Shoppers,2020-10-12,1847,24,M,Khulna,4,1490,5960,37,Fashion,Email Campaign,Mobile,31,269,0.47,0.19,0.09,12561,0.37,-64,2,0
CUST00000021,Occasional Shoppers,2020-01-21,2112,46,F,Barisal,8,1144,9149,153,Groceries,Website,Desktop,27,1151,0.18,0.37,0.14,11786,0.34,-73,3,0
CUST00000022,At-Risk,2020-09-10,1879,19,Other,Dhaka,2,1430,2861,55,Sports,In-Store,Mobile,4,1201,0.04,0.18,0.12,5952,0.60,57,7,0
CUST00000023,High-Value Loyal,2020-02-16,2086,23,F,Sylhet,25,7950,198751,68,Fashion,In-Store,Mobile,80,1199,0.11,0.38,0.20,333850,0.14,-54,8,2
CUST00000024,High-Value Loyal,2020-11-16,1812,24,M,Rajshahi,49,8696,426102,62,Health,Social Media,Tablet,382,1719,0.50,0.28,0.16,673771,0.09,21,3,6
CUST00000025,Regular Buyers,2020-07-03,1948,26,Other,Sylhet,16,4929,78857,29,Beauty,Mobile App,Desktop,50,702,0.01,0.27,0.11,179820,0.23,-22,3,1
CUST00000026,Occasional Shoppers,2020-11-19,1809,34,F,Rangpur,5,2409,12043,41,Health,Website,Desktop,21,628,0.23,0.55,0.23,27335,0.48,-53,7,0
CUST00000027,Occasional Shoppers,2020-10-07,1852,25,Other,Sylhet,4,1035,4139,16,Books,Social Media,Desktop,17,752,0.01,0.43,0.22,5585,0.36,85,5,0
CUST00000028,High-Value Loyal,2020-09-14,1875,34,Other,Khulna,31,5168,160209,66,Beauty,Email Campaign,Mobile,95,1043,0.36,0.51,0.27,266479,0.12,-71,6,2
CUST00000029,New Customers,2020-04-10,2032,32,F,Sylhet,1,1768,1768,33,Home & Living,Email Campaign,Tablet,3,842,0.38,0.22,0.14,2750,0.58,1,8,0
CUST00000030,New Customers,2020-05-25,1987,39,F,Khulna,2,1087,2175,122,Home & Living,Social Media,Mobile,4,260,0.41,0.60,0.21,3397,0.70,-9,6,0
CUST00000031,Occasional Shoppers,2020-02-05,2097,34,M,Sylhet,8,2318,18544,176,Fashion,Email Campaign,Tablet,40,779,0.51,0.72,0.31,43592,0.33,2,8,0
CUST00000032,At-Risk,2020-11-18,1810,37,F,Dhaka,1,517,517,153,Beauty,Social Media,Tablet,5,1391,0.18,0.54,0.17,1219,0.66,52,2,0
